,Player,Team,Goals,Shots,Shots_Target,Assists,Fouls,Interceptions,Crosses,Time
180,"Neuer

 (GK)",Bayern,0,0,0,0,0,0,0,90
181,Pavard,Bayern,0,1,0,0,1,2,0,90
182,Thiago Alcántara,Bayern,0,1,0,0,1,1,1,69
183,Lewandowski,Bayern,1,1,0,0,1,1,1,90
184,Boateng,Bayern,1,2,1,0,1,1,2,90
185,Davies,Bayern,0,1,1,0,1,1,1,90
186,Gnabry,Bayern,0,1,0,0,1,1,2,90
187,Müller,Bayern,0,1,0,0,1,1,2,90
188,Alaba,Bayern,0,1,0,0,1,1,1,90
189,Coman,Bayern,0,1,0,0,1,1,1,90
190,Kimmich,Bayern,0,1,0,0,1,1,1,68
191,"Ulreich

 (GK)",Bayern,0,0,0,0,0,0,0,13
192,Odriozola,Bayern,0,0,0,0,1,1,0,39
193,Coutinho,Bayern,0,1,0,0,1,1,0,35
194,Goretzka,Bayern,0,1,0,0,1,0,0,32
195,Hernández,Bayern,0,0,0,0,0,0,0,26
196,Tolisso,Bayern,0,0,0,0,1,0,0,30
197,Zirkzee,Bayern,0,0,0,0,0,0,0,22
198,"Gulácsi

 (GK)",Leipzig,0,0,0,0,0,0,0,90
199,Angeliño,Leipzig,0,0,0,0,1,1,1,90
200,Upamecano,Leipzig,0,1,0,0,1,1,1,90
201,Sabitzer,Leipzig,0,1,0,0,1,1,2,90
202,Werner,Leipzig,1,2,1,1,1,1,1,90
203,Klostermann,Leipzig,0,1,1,0,1,1,1,90
204,Nkunku,Leipzig,0,1,0,0,1,1,2,90
205,Schick,Leipzig,0,1,0,0,1,1,2,90
206,Mukiele,Leipzig,0,1,0,0,1,1,2,90
207,Halstenberg,Leipzig,0,1,0,0,1,1,0,90
208,Laimer,Leipzig,0,1,0,0,1,1,1,69
209,"Mvogo

 (GK)",Leipzig,0,0,0,0,0,0,0,0
210,Haidara,Leipzig,0,0,0,0,0,1,0,33
211,Y. Poulsen,Leipzig,0,1,0,0,0,0,0,35
212,Forsberg,Leipzig,0,0,0,0,1,1,1,34
213,Adams,Leipzig,0,0,0,0,1,0,0,31
214,Lookman,Leipzig,0,0,0,0,0,0,0,28
215,Olmo,Leipzig,0,0,0,0,0,0,0,19
216,"Szczęsny

 (GK)",Juventus,0,0,0,0,0,0,0,90
217,De Ligt,Juventus,0,1,0,0,1,2,0,90
218,Pjanić,Juventus,0,1,0,0,1,1,1,68
219,Ronaldo,Juventus,1,1,0,0,1,1,1,90
220,Dybala,Juventus,1,2,1,0,1,1,2,90
221,Alex Sandro,Juventus,0,1,0,0,1,1,1,90
222,Danilo,Juventus,0,1,0,0,1,1,2,90
223,Cuadrado,Juventus,0,1,0,0,1,1,2,90
224,Bonucci,Juventus,0,1,0,0,1,1,1,90
225,Rabiot,Juventus,0,1,0,0,1,1,1,90
226,Bentancur,Juventus,0,1,0,0,1,1,1,68
227,"Buffon

 (GK)",Juventus,0,0,0,0,0,0,0,13
228,De Sciglio,Juventus,0,0,0,0,1,1,0,40
229,Ramsey,Juventus,0,1,0,0,1,1,0,35
230,Matuidi,Juventus,0,1,0,0,1,0,0,32
231,Higuaín,Juventus,0,0,0,0,0,0,0,26
232,Rugani,Juventus,0,0,0,0,1,0,0,30
233,Bernardeschi,Juventus,0,0,0,0,0,0,0,22
234,"Ederson

 (GK)",Man. City,0,0,0,0,0,0,0,90
235,Walker,Man. City,0,0,0,0,1,1,1,90
236,Gündoğan,Man. City,0,1,0,0,1,1,1,90
237,Jesus,Man. City,0,1,0,0,1,1,2,90
238,Laporte,Man. City,1,2,1,2,1,1,2,90
239,Rodri,Man. City,1,1,1,0,1,1,1,90
240,De Bruyne,Man. City,0,1,0,0,1,1,2,90
241,Bernardo Silva,Man. City,0,1,0,0,1,1,2,90
242,B. Mendy,Man. City,0,1,0,0,1,1,2,90
243,Mahrez,Man. City,0,1,0,0,1,1,0,90
244,Otamendi,Man. City,0,1,0,0,1,1,1,69
245,"Bravo

 (GK)",Man. City,0,0,0,0,0,0,0,0
246,Sterling,Man. City,0,0,0,0,0,1,0,33
247,Agüero,Man. City,0,1,0,0,0,0,0,35
248,David Silva,Man. City,0,0,0,0,1,1,1,33
249,Fernandinho,Man. City,0,0,0,0,1,0,0,31
250,João Cancelo,Man. City,0,0,0,0,0,0,0,28
251,Foden,Man. City,0,0,0,0,0,0,0,19
252,"Navas

 (GK)",Paris,0,0,0,0,0,0,0,90
253,Kimpembe,Paris,0,1,0,0,1,2,0,90
254,Kehrer,Paris,0,1,0,0,1,1,1,68
255,Marquinhos,Paris,1,1,0,0,1,1,1,90
256,Paredes,Paris,1,2,1,0,1,1,2,90
257,Cavani,Paris,0,1,0,0,1,1,1,90
258,Neymar,Paris,0,1,0,0,1,1,2,90
259,Di María,Paris,0,1,0,0,1,1,2,90
260,Bernat,Paris,0,1,0,0,1,1,1,90
261,Sarabia,Paris,0,1,0,0,1,1,1,90
262,Gueye,Paris,0,1,0,0,1,1,1,68
263,"Rico

 (GK)",Paris,0,0,0,0,0,0,0,13
264,Mbappé,Paris,0,0,0,0,1,1,0,39
265,Icardi,Paris,0,1,0,0,1,1,0,35
266,Kurzawa,Paris,0,1,0,0,1,0,0,32
267,Diallo,Paris,0,0,0,0,0,0,0,26
268,Draxler,Paris,0,0,0,0,1,0,0,30
269,Kouassi,Paris,0,0,0,0,0,0,0,22
270,"Oblak

 (GK)",Atlético,0,0,0,0,0,0,0,90
271,Thomas,Atlético,0,0,0,0,1,1,1,90
272,Koke,Atlético,0,1,0,0,1,1,1,90
273,João Félix,Atlético,0,1,0,0,1,1,2,90
274,Saúl Ñíguez,Atlético,1,2,1,1,1,1,1,90
275,Correa,Atlético,0,1,1,0,1,1,1,90
276,Renan Lodi,Atlético,0,1,0,0,1,1,2,90
277,Savić,Atlético,0,1,0,0,1,1,2,90
278,Felipe,Atlético,0,1,0,0,1,1,2,90
279,Diego Costa,Atlético,0,1,0,0,1,1,0,90
280,Trippier,Atlético,0,1,0,0,1,1,1,69
281,"Adán

 (GK)",Atlético,0,0,0,0,0,0,0,0
282,Giménez,Atlético,0,0,0,0,0,1,0,33
283,Morata,Atlético,0,1,0,0,0,0,0,35
284,Lemar,Atlético,0,0,0,0,1,1,1,33
285,Llorente,Atlético,0,0,0,0,1,0,0,31
286,Carrasco,Atlético,0,0,0,0,0,0,0,28
287,Vrsaljko,Atlético,0,0,0,0,0,0,0,19
288,"Sportiello

 (GK)",Atalanta,0,0,0,0,0,0,0,90
289,Caldara,Atalanta,0,1,0,0,1,2,0,90
290,Palomino,Atalanta,0,1,0,0,1,1,1,68
291,Gosens,Atalanta,0,1,0,0,1,1,1,90
292,Gómez,Atalanta,1,2,1,0,1,1,2,90
293,Freuler,Atalanta,0,1,0,0,1,1,1,90
294,De Roon,Atalanta,0,1,0,0,1,1,2,90
295,Djimsiti,Atalanta,0,1,0,0,1,1,2,90
296,Hateboer,Atalanta,0,1,0,0,1,1,1,90
297,Iličić,Atalanta,0,1,0,0,1,1,1,90
298,Pašalić,Atalanta,0,1,0,0,1,1,1,68
299,"Rossi

 (GK)",Atalanta,0,0,0,0,0,0,0,13
300,Tameze,Atalanta,0,0,0,0,1,1,0,39
301,Czyborra,Atalanta,0,1,0,0,1,1,0,35
302,Muriel,Atalanta,0,1,0,0,1,0,0,32
303,Malinovskyi,Atalanta,0,0,0,0,0,0,0,26
304,Castagne,Atalanta,0,0,0,0,1,0,0,30
305,Zapata,Atalanta,0,0,0,0,0,0,0,22
306,"Ter Stegen

 (GK)",Barcelona,0,0,0,0,0,0,0,90
307,Semedo,Barcelona,0,0,0,0,1,1,1,90
308,Piqué,Barcelona,0,1,0,0,1,1,1,90
309,Rakitić,Barcelona,0,1,0,0,1,1,2,90
310,Sergio Busquets,Barcelona,1,2,1,2,1,1,1,90
311,Messi,Barcelona,1,1,1,0,1,1,1,90
312,Griezmann,Barcelona,0,1,0,0,1,1,2,90
313,F. de Jong,Barcelona,0,1,0,0,1,1,2,90
314,Vidal,Barcelona,0,1,0,0,1,1,2,90
315,Umtiti,Barcelona,0,1,0,0,1,1,0,90
316,Junior Firpo,Barcelona,0,1,0,0,1,1,1,69
317,"Neto

 (GK)",Barcelona,0,0,0,0,0,0,0,0
318,Arthur,Barcelona,0,0,0,0,0,1,0,33
319,Lenglet,Barcelona,0,1,0,0,0,0,0,35
320,Ricard Puig,Barcelona,0,0,0,0,1,1,1,33
321,Fati,Barcelona,0,0,0,0,1,0,0,31
322,Ronald Araújo,Barcelona,0,0,0,0,0,0,0,28
323,Akieme,Barcelona,0,0,0,0,0,0,0,19
324,"Gulácsi

 (GK)",Leipzig,0,0,0,0,0,0,0,90
325,Angeliño,Leipzig,0,1,0,0,1,2,0,90
326,Upamecano,Leipzig,0,1,0,0,1,1,1,68
327,Sabitzer,Leipzig,0,1,0,0,1,1,1,90
328,Werner,Leipzig,1,2,1,0,1,1,2,90
329,Klostermann,Leipzig,0,1,0,0,1,1,1,90
330,Nkunku,Leipzig,0,1,0,0,1,1,2,90
331,Schick,Leipzig,0,1,0,0,1,1,2,90
332,Mukiele,Leipzig,0,1,0,0,1,1,1,90
333,Halstenberg,Leipzig,0,1,0,0,1,1,1,90
334,Laimer,Leipzig,0,1,0,0,1,1,1,68
335,"Mvogo

 (GK)",Leipzig,0,0,0,0,0,0,0,13
336,Haidara,Leipzig,0,0,0,0,1,1,0,40
337,Y. Poulsen,Leipzig,0,1,0,0,1,1,0,35
338,Forsberg,Leipzig,0,1,0,0,1,0,0,32
339,Adams,Leipzig,0,0,0,0,0,0,0,26
340,Lookman,Leipzig,0,0,0,0,1,0,0,30
341,Olmo,Leipzig,0,0,0,0,0,0,0,22
342,"Neuer

 (GK)",Bayern,0,0,0,0,0,0,0,90
343,Pavard,Bayern,0,0,0,0,1,1,1,90
344,Thiago Alcántara,Bayern,0,1,0,0,1,1,1,90
345,Lewandowski,Bayern,0,1,0,0,1,1,2,90
346,Boateng,Bayern,1,2,1,2,1,1,1,90
347,Davies,Bayern,1,1,1,0,1,1,1,90
348,Gnabry,Bayern,0,1,0,0,1,1,2,90
