,Teams,Goals,Total Attempts,On Target,Off Target,Blocked,Woodwork,Corners,Offside,Possession,Passes,Passing Accuracy,Passes Completed,Distance Covered,Balls Recovered,Tackles,Clearances,Blocks,Yellow Cards,Red Cards,Fouls,"Anfield, Liverpool","Arena AufSchalke, Gelsenkirchen","Arena Lviv, Lviv","Arsenal Stadium, London","BVB Stadion Dortmund, Dortmund","BayArena, Leverkusen","Beşiktaş Park, Istanbul","Camp Nou, Barcelona","City of Manchester Stadium, Manchester","Estadio Metropolitano, Madrid","Estadio Ramón Sánchez-Pizjuán, Seville","Estadio Santiago Bernabéu, Madrid","Estadio Vicente Calderón, Madrid","Estádio do Dragão, Porto","Estádio do Sport Lisboa e Benfica, Lisbon","Football Arena Munich, Munich","Johan Cruijff ArenA, Amsterdam","Juventus Stadium, Turin","KAA Gent Stadium, Ghent","King Power Stadium, Leicester","NSK Olimpiyskyi, Kyiv","OL Stadium, Décines","OSK Metalist Stadion, Kharkiv","Old Trafford, Manchester","Olympiastadion, Berlin","PSV Stadion, Eindhoven","Parc des Princes, Paris","Principality Stadium, Cardiff","St. Jakob-Park, Basel","Stade Louis II, Monaco","Stadio Olimpico, Rome","Stadio San Paolo, Naples","Stadio San Siro, Milan","Stadion Petrovskiy, St Petersburg","Stamford Bridge, London","Tottenham Hotspur Stadium, London","VfL Wolfsburg Arena, Wolfsburg","Wembley Stadium, London"
94,Zenit,1,15,4,5,6,0,7,6,39,461,84.8156182212581,391,113.2,51,6,17,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
95,Benfica,2,16,9,5,2,0,7,2,39,361,82.2714681440443,297,112.8,57,2,19,6,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,Real Madrid,2,38,11,15,12,0.75,11,2,39,622,89.5498392282958,557,111.8,61,5,10,2,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,Roma,0,21,4,15,2,0.5,11,0,39,440,85.2272727272727,375,113.8,47,3,22,12,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Wolfsburg,1,17,5,6,6,0,6,2,39,478,86.1924686192469,412,117.2,51,2,9,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
99,Gent,0,9,2,6,1,0,6,3,39,561,87.5222816399287,491,113,41,1,10,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,PSV,0,5,1,2,2,0,1,0,39,378,84.1269841269841,318,109.6,51,6,26,5,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,Atlético,0,11,4,2,5,0.375,1,1,39,545,86.7889908256881,473,117.1,51,1,13,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,Dynamo Kyiv,1,13,4,6,3,0,6,2,39,522,86.5900383141763,452,116.8,54,5,12,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Man. City,3,13,6,6,1,0.2,6,1,39,522,87.7394636015326,458,108.4,59,7,13,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Juventus,2,12,7,3,2,0.2,3,1,39,311,84.2443729903537,262,112.2,40,7,19,1,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Bayern,2,9,5,3,1,0.33,3,0,39,666,91.1411411411411,607,112.2,44,4,9,2,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Arsenal,0,7,2,1,4,0.5,1,3,39,361,80.6094182825485,291,109.5,45,5,18,7,1,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,Barcelona,2,13,5,1,7,0.214,1,1,39,731,88.6456908344733,648,107.8,39,3,13,4,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,Roma,0,10,1,4,5,0.5,7,1,39,423,86.7612293144208,367,114.1,46,5,16,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
109,Real Madrid,2,15,5,4,6,0.75,7,1,39,692,89.8843930635838,622,109,44,3,14,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,Gent,2,12,8,2,2,0,7,2,39,576,84.7222222222222,488,116.4,51,1,7,3,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,Wolfsburg,3,9,4,2,3,0,7,0,39,388,81.1855670103093,315,118.9,53,1,20,2,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,Paris,2,20,8,7,5,0.33,9,2,39,688,90.4069767441861,622,102.8,49,3,8,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
113,Chelsea,1,15,5,7,3,2,9,2,39,371,85.9838274932615,319,102.9,46,2,22,5,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
114,Benfica,1,15,5,6,4,0,5,3,39,526,86.3117870722433,454,105.6,50,2,17,1,4,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Zenit,0,9,2,6,1,0,5,7,39,262,79.3893129770992,208,105.8,55,4,23,4,4,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Juventus,1,11,4,3,4,0,1,3,39,418,84.4497607655502,353,107.5,39,4,9,7,5,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
117,Real Madrid,4,15,5,3,7,0,1,1,39,541,90.7578558225508,491,103.9,51,6,9,4,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
118,Atlético,2,17,7,7,3,0,7,1,39,320,71.875,230,113.1,53,4,14,6,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Real Madrid,1,19,6,7,6,0,7,2,39,582,86.7697594501718,505,103.4,47,2,23,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Juventus,2,15,6,4,5,0,6,2,39,411,85.1581508515815,350,104.7,46,4,18,4,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Monaco,1,10,2,4,4,0,6,3,39,400,86,344,100.1,41,4,17,5,2,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Monaco,0,14,6,3,5,0,7,0,39,448,85.4910714285714,383,104.2,48,1,14,2,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,Juventus,2,10,5,3,2,0,7,0,39,452,83.6283185840708,378,109,49,3,19,5,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
124,Real Madrid,3,16,8,6,2,0,9,0,39,673,91.2332838038633,614,102.9,54,1,18,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Atlético,0,7,1,6,0,0,9,0,39,422,84.8341232227488,358,110.5,44,2,14,2,3,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Monaco,3,15,9,5,1,0,5,1,39,280,73.2142857142857,205,112,49,2,30,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
127,Dortmund,1,14,7,5,2,1,5,2,39,661,86.0816944024206,569,112.8,41,9,14,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Barcelona,0,17,1,12,4,0,13,1,39,587,85.0085178875639,499,108.4,55,7,7,3,2,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Juventus,0,19,4,12,3,0,13,2,39,329,76.8996960486322,253,111.9,49,4,35,4,2,0,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,Leicester,1,21,4,8,9,0,7,1,39,488,80.327868852459,392,110.9,55,2,14,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,Atlético,1,11,3,8,0,0,7,2,39,400,75.25,301,116.2,73,6,42,9,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Real Madrid,4,26,12,9,5,0,7,3,39,638,84.9529780564263,542,135.7,53,4,22,8,1,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Bayern,2,19,2,9,8,0,7,2,39,692,86.1271676300578,596,134.7,48,9,17,5,5,1,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Bayern,1,11,3,5,3,0,8,3,39,535,88.785046728972,475,108.7,49,11,14,4,4,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Real Madrid,2,21,12,5,4,1,8,3,39,589,91.3412563667233,538,109,48,7,16,3,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Atlético,1,15,4,8,3,1,8,1,39,645,85.7364341085271,553,109.9,49,3,14,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Leicester,0,11,0,8,3,0,8,1,39,289,73.7024221453287,213,103,57,3,37,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Dortmund,2,15,4,7,4,0,7,2,39,642,83.8006230529595,538,108.9,37,1,9,1,2,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Monaco,3,10,2,7,1,0,7,2,39,277,68.5920577617329,190,107.8,48,7,32,4,5,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Juventus,3,14,8,4,2,0,5,1,39,280,82.1428571428571,230,108.8,40,6,20,4,4,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Barcelona,0,11,3,4,4,0,5,1,39,614,91.2052117263844,560,99.7,38,2,16,2,3,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Atlético,0,13,4,5,4,0,7,0,39,420,79.0476190476191,332,113.2,56,4,18,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Leverkusen,0,16,7,5,4,0,7,1,39,548,84.8540145985401,465,114,56,5,20,4,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Monaco,3,8,4,1,3,0,3,1,39,321,77.8816199376947,250,106.9,49,6,23,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
145,Man. City,1,5,3,1,1,0,3,5,39,534,85.0187265917603,454,110.7,44,1,15,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
146,Juventus,1,15,3,8,4,0,4,1,39,760,91.1842105263158,693,109.5,41,0,6,3,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Porto,0,13,2,8,3,0,4,0,39,383,84.3342036553525,323,103,48,2,19,4,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Leicester,2,13,4,4,5,0,2,2,39,199,70.3517587939699,140,104.4,49,2,40,2,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Sevilla,0,11,5,4,2,1,2,0,39,531,86.4406779661017,459,106.2,41,5,11,5,3,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,Dortmund,4,13,6,7,0,1,5,9,39,473,87.5264270613108,414,111.8,50,5,15,2,3,0,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Benfica,0,11,2,7,2,0,5,1,39,389,77.8920308483291,303,107,42,4,9,0,1,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,Barcelona,6,17,7,5,5,0,6,3,39,591,86.9712351945855,514,105.8,56,4,7,1,5,0,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,Paris,1,9,3,5,1,1,6,5,39,251,72.9083665338645,183,110.4,42,6,24,5,5,0,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Arsenal,1,9,3,6,0,1,5,3,39,423,84.3971631205674,357,105.2,40,6,12,3,3,1,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Bayern,5,16,7,6,3,1,5,4,39,577,89.948006932409,519,110.3,52,3,21,0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Napoli,1,13,4,8,1,1,9,3,39,632,86.7088607594937,548,117.8,68,0,7,4,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
157,Real Madrid,3,17,5,8,4,1,9,4,39,522,83.9080459770115,438,109.1,66,5,18,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
158,Porto,0,3,0,3,0,0,1,1,39,227,79.295154185022,180,101.4,28,3,21,3,5,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Juventus,2,10,4,3,3,1,1,1,39,762,92.5196850393701,705,112.4,36,3,5,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Sevilla,2,22,8,10,4,2,8,0,39,663,89.5927601809955,594,110.8,39,4,12,3,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Leicester,1,16,3,10,3,0,8,0,39,239,73.2217573221757,175,106.6,48,3,17,4,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Leverkusen,2,14,3,3,8,0,6,1,39,550,79.8181818181818,439,110.2,64,5,18,1,4,0,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,Atlético,4,11,7,3,1,1,6,4,39,326,70.2453987730061,229,115.8,57,2,20,8,3,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,Man. City,5,8,6,0,2,0,5,3,39,590,87.4576271186441,516,106.3,43,5,15,2,4,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,Monaco,3,8,6,0,2,0,5,5,39,275,81.4545454545454,224,102,42,5,20,2,6,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Bayern,5,24,11,6,7,1,9,3,39,793,91.5510718789407,726,109.5,55,1,7,1,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,Arsenal,1,12,5,6,1,0,9,2,39,277,78.7003610108303,218,108.1,46,4,22,7,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Real Madrid,3,20,5,12,3,1,5,7,39,594,90.0673400673401,535,106.5,58,2,7,2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Napoli,1,16,2,12,2,0,5,1,39,622,88.4244372990354,550,116.3,48,2,12,3,2,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Benfica,1,4,1,1,2,0,3,2,39,283,74.9116607773852,212,110.7,50,2,22,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,Dortmund,0,8,4,1,3,0,3,8,39,673,87.667161961367,590,110.4,54,4,3,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Paris,4,16,10,2,4,0,2,0,39,426,88.7323943661972,378,113.3,48,8,19,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
173,Barcelona,0,4,1,2,1,1,2,3,39,580,90,522,105.1,37,5,9,4,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,Real Madrid,3,12,5,6,1,1,9,7,39,648,91.0493827160494,590,102.6,49,2,16,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Liverpool,1,15,2,6,7,1,9,3,39,351,79.7720797720798,280,110.7,43,10,14,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,Roma,4,23,6,14,3,1,7,3,39,530,84.1509433962264,446,113.7,45,3,8,5,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
177,Liverpool,2,24,5,14,5,0,7,5,39,356,73.5955056179775,262,115.2,45,1,26,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
178,Real Madrid,2,9,3,5,1,0,6,3,39,400,83.5,334,113.9,41,2,27,7,4,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,Bayern,2,20,8,5,7,1,6,0,39,597,86.9346733668342,519,117.2,45,2,12,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Bayern,1,13,5,4,4,0,10,0,39,631,86.5293185419968,546,111.6,47,4,4,1,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,Real Madrid,2,9,4,4,1,0,10,6,39,416,84.375,351,107.5,47,2,17,4,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Liverpool,5,20,11,5,4,1,7,5,39,433,80.3695150115474,348,114.8,61,7,21,3,3,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,Roma,2,14,6,5,3,1,7,3,39,472,80.5084745762712,380,111.6,49,6,22,4,2,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,Bayern,0,17,6,9,2,0,9,5,39,462,86.1471861471862,398,113.4,54,5,11,2,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Sevilla,0,11,0,9,2,1,9,1,39,497,83.9034205231388,417,114,37,1,22,2,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,Real Madrid,1,19,6,8,5,1,7,4,39,639,92.1752738654147,589,111.9,42,3,17,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Juventus,3,17,6,8,3,0,7,2,39,384,85.6770833333333,329,120.3,38,6,22,5,6,1,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Roma,3,16,7,8,1,0,6,0,39,379,73.0870712401056,277,107.7,44,1,16,2,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
189,Barcelona,0,13,3,8,2,0,6,4,39,496,77.8225806451613,386,102.5,53,4,21,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
190,Man. City,1,20,3,5,12,1,9,8,39,678,84.3657817109145,572,110.6,45,4,8,0,2,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Liverpool,2,8,3,5,0,0,9,0,39,304,72.6973684210526,221,114.9,54,6,28,12,4,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,Liverpool,3,9,5,2,2,0,0,3,39,390,74.8717948717949,292,120.8,59,4,33,5,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,Man. City,0,7,0,2,5,0,0,4,39,752,86.7021276595745,652,115.5,54,4,23,2,4,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Barcelona,4,19,9,6,4,1,10,3,39,650,89.2307692307692,580,108,58,1,12,7,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
